Station_ID,Stop_ID,Station_Name,Destination,Route,Run_Number,Prediction_Time,Arrival_Time,Is_Approaching,Is_Scheduled,Is_Delayed,Is_Fault
41680,30297,Oakton-Skokie,Skokie,Y,506,2023-04-23T18:19:38,2023-04-23T18:20:38,1,0,0,0
41030,30199,Polk,Loop,Pink,313,2023-04-23T18:19:33,2023-04-23T18:20:33,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,506,2023-04-23T18:19:58,2023-04-23T18:20:58,1,0,0,0
41030,30199,Polk,Loop,Pink,313,2023-04-23T18:19:54,2023-04-23T18:20:54,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,506,2023-04-23T18:20:39,2023-04-23T18:21:39,1,0,0,0
41130,30215,Halsted,Loop,Org,708,2023-04-23T18:27:32,2023-04-23T18:28:32,1,0,0,0
40330,30064,Grand,Howard,Red,811,2023-04-23T18:31:04,2023-04-23T18:32:04,1,0,0,0
41360,30265,California,Cottage Grove,G,613,2023-04-23T18:31:08,2023-04-23T18:32:08,1,0,0,0
41440,30278,Addison,Loop,Brn,414,2023-04-23T18:31:19,2023-04-23T18:32:19,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,506,2023-04-23T18:31:03,2023-04-23T18:32:03,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,813,2023-04-23T18:31:57,2023-04-23T18:32:57,1,0,0,0
41360,30265,California,Cottage Grove,G,613,2023-04-23T18:31:08,2023-04-23T18:32:08,1,0,0,0
41440,30278,Addison,Loop,Brn,414,2023-04-23T18:31:19,2023-04-23T18:32:19,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,506,2023-04-23T18:31:41,2023-04-23T18:32:41,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,914,2023-04-23T18:32:16,2023-04-23T18:33:16,1,0,0,0
41360,30265,California,Cottage Grove,G,613,2023-04-23T18:32:17,2023-04-23T18:33:17,1,0,0,0
41440,30278,Addison,Loop,Brn,414,2023-04-23T18:32:16,2023-04-23T18:33:16,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,914,2023-04-23T18:32:49,2023-04-23T18:33:49,1,0,0,0
41030,30199,Polk,Loop,Pink,310,2023-04-23T18:34:38,2023-04-23T18:35:38,1,0,0,0
